timestamp,event_type,username,source_ip,command,raw_message
2026-01-22T13:45:01.783453+00:00,cron_activity,root(uid=0),,,2026-01-22T13:45:01.783453+00:00 ub24 CRON[1101]: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2026-01-22T13:53:50.666957+00:00,sudo_command,guestx,,/usr/sbin/shutdown now,2026-01-22T13:53:50.666957+00:00 ub24 sudo:   guestx : TTY=tty1 ; PWD=/home/guestx ; USER=root ; COMMAND=/usr/sbin/shutdown now
2026-01-22T14:15:01.858445+00:00,cron_activity,root(uid=0),,,2026-01-22T14:15:01.858445+00:00 ub24 CRON[1014]: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2026-01-22T14:17:01.943261+00:00,cron_activity,root(uid=0),,,2026-01-22T14:17:01.943261+00:00 ub24 CRON[1019]: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2026-01-22T14:17:49.384019+00:00,sudo_command,guestx,,/usr/bin/systemctl enable ssh,2026-01-22T14:17:49.384019+00:00 ub24 sudo:   guestx : TTY=tty1 ; PWD=/home/guestx ; USER=root ; COMMAND=/usr/bin/systemctl enable ssh
2026-01-22T14:18:04.116000+00:00,sudo_command,guestx,,/usr/bin/systemctl start ssh,2026-01-22T14:18:04.116000+00:00 ub24 sudo:   guestx : TTY=tty1 ; PWD=/home/guestx ; USER=root ; COMMAND=/usr/bin/systemctl start ssh
2026-01-22T14:24:25.257201+00:00,sudo_command,guestx,,/usr/sbin/ufw status,2026-01-22T14:24:25.257201+00:00 ub24 sudo:   guestx : TTY=tty1 ; PWD=/home/guestx ; USER=root ; COMMAND=/usr/sbin/ufw status
2026-01-22T14:24:56.555550+00:00,sudo_command,guestx,,/usr/sbin/shutdown now,2026-01-22T14:24:56.555550+00:00 ub24 sudo:   guestx : TTY=tty1 ; PWD=/home/guestx ; USER=root ; COMMAND=/usr/sbin/shutdown now
2026-01-22T14:33:34.421682+00:00,ssh_failed,guestx,10.0.2.2,,2026-01-22T14:33:34.421682+00:00 ub24 sshd[973]: Failed password for guestx from 10.0.2.2 port 54984 ssh2
2026-01-22T14:34:06.292010+00:00,sudo_command,guestx,,/usr/sbin/ufw status,2026-01-22T14:34:06.292010+00:00 ub24 sudo:   guestx : TTY=tty1 ; PWD=/home/guestx ; USER=root ; COMMAND=/usr/sbin/ufw status
2026-01-22T14:35:01.834334+00:00,cron_activity,root(uid=0),,,2026-01-22T14:35:01.834334+00:00 ub24 CRON[987]: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2026-01-22T14:43:03.988095+00:00,ssh_success,guestx,10.0.2.2,,2026-01-22T14:43:03.988095+00:00 ub24 sshd[999]: Accepted password for guestx from 10.0.2.2 port 54994 ssh2
2026-01-22T14:43:55.054894+00:00,sudo_command,guestx,,/usr/sbin/shutdown now,2026-01-22T14:43:55.054894+00:00 ub24 sudo:   guestx : TTY=pts/0 ; PWD=/home/guestx ; USER=root ; COMMAND=/usr/sbin/shutdown now
2026-01-24T13:55:01.535506+00:00,cron_activity,root(uid=0),,,2026-01-24T13:55:01.535506+00:00 ub24 CRON[1060]: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2026-01-24T14:05:01.560785+00:00,cron_activity,root(uid=0),,,2026-01-24T14:05:01.560785+00:00 ub24 CRON[1076]: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2026-01-24T14:08:45.703750+00:00,ssh_success,guestx,10.0.2.2,,2026-01-24T14:08:45.703750+00:00 ub24 sshd[1084]: Accepted password for guestx from 10.0.2.2 port 55479 ssh2
2026-01-24T14:11:00.561806+00:00,sudo_command,guestx,,/usr/sbin/shutdown now,2026-01-24T14:11:00.561806+00:00 ub24 sudo:   guestx : TTY=pts/0 ; PWD=/home/guestx ; USER=root ; COMMAND=/usr/sbin/shutdown now
2026-01-24T14:17:01.379657+00:00,cron_activity,root(uid=0),,,2026-01-24T14:17:01.379657+00:00 ub24 CRON[941]: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2026-01-24T14:19:32.511230+00:00,ssh_success,guestx,192.168.43.233,,2026-01-24T14:19:32.511230+00:00 ub24 sshd[945]: Accepted password for guestx from 192.168.43.233 port 55486 ssh2
2026-01-24T14:20:48.073367+00:00,sudo_command,guestx,,/usr/bin/bash ./wazuh-install.sh -a,2026-01-24T14:20:48.073367+00:00 ub24 sudo:   guestx : TTY=pts/0 ; PWD=/home/guestx ; USER=root ; COMMAND=/usr/bin/bash ./wazuh-install.sh -a
2026-01-24T14:25:01.406893+00:00,cron_activity,root(uid=0),,,2026-01-24T14:25:01.406893+00:00 ub24 CRON[1440]: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2026-01-24T14:35:01.437594+00:00,cron_activity,root(uid=0),,,2026-01-24T14:35:01.437594+00:00 ub24 CRON[1455]: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2026-01-24T14:45:01.446036+00:00,cron_activity,root(uid=0),,,2026-01-24T14:45:01.446036+00:00 ub24 CRON[1466]: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2026-01-24T14:48:10.403371+00:00,sudo_command,guestx,,/usr/sbin/shutdown now,2026-01-24T14:48:10.403371+00:00 ub24 sudo:   guestx : TTY=pts/0 ; PWD=/home/guestx ; USER=root ; COMMAND=/usr/sbin/shutdown now
2026-01-25T11:23:37.509323+00:00,ssh_success,guestx,192.168.43.233,,2026-01-25T11:23:37.509323+00:00 ub24 sshd[982]: Accepted password for guestx from 192.168.43.233 port 55650 ssh2
2026-01-25T11:24:42.171576+00:00,sudo_command,guestx,,/usr/bin/tail -n 20 /var/log/auth.log,2026-01-25T11:24:42.171576+00:00 ub24 sudo:   guestx : TTY=tty1 ; PWD=/home/guestx ; USER=root ; COMMAND=/usr/bin/tail -n 20 /var/log/auth.log
2026-01-25T11:25:01.782021+00:00,cron_activity,root(uid=0),,,2026-01-25T11:25:01.782021+00:00 ub24 CRON[1051]: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2026-01-25T11:31:55.814646+00:00,sudo_command,guestx,,/usr/bin/apt update,2026-01-25T11:31:55.814646+00:00 ub24 sudo:   guestx : TTY=pts/0 ; PWD=/home/guestx ; USER=root ; COMMAND=/usr/bin/apt update
2026-01-25T11:32:58.159213+00:00,sudo_command,guestx,,/usr/bin/apt install tree -y,2026-01-25T11:32:58.159213+00:00 ub24 sudo:   guestx : TTY=pts/0 ; PWD=/home/guestx ; USER=root ; COMMAND=/usr/bin/apt install tree -y
2026-01-25T11:34:09.613437+00:00,sudo_command,guestx,,/usr/bin/tail -n 20 /var/log/auth.log,2026-01-25T11:34:09.613437+00:00 ub24 sudo:   guestx : TTY=tty1 ; PWD=/home/guestx ; USER=root ; COMMAND=/usr/bin/tail -n 20 /var/log/auth.log
2026-01-25T11:35:01.837396+00:00,cron_activity,root(uid=0),,,2026-01-25T11:35:01.837396+00:00 ub24 CRON[1467]: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2026-01-25T11:38:53.236834+00:00,ssh_invalid_user,guest,192.168.43.155,,2026-01-25T11:38:53.236834+00:00 ub24 sshd[1478]: Invalid user guest from 192.168.43.155 port 59980
2026-01-25T11:39:04.186212+00:00,ssh_failed,guest,192.168.43.155,,2026-01-25T11:39:04.186212+00:00 ub24 sshd[1478]: Failed password for invalid user guest from 192.168.43.155 port 59980 ssh2
2026-01-25T11:40:13.713768+00:00,sudo_command,guestx,,/usr/bin/tail -n 20 /var/log/auth.log,2026-01-25T11:40:13.713768+00:00 ub24 sudo:   guestx : TTY=tty1 ; PWD=/home/guestx ; USER=root ; COMMAND=/usr/bin/tail -n 20 /var/log/auth.log
2026-01-25T11:45:01.870301+00:00,cron_activity,root(uid=0),,,2026-01-25T11:45:01.870301+00:00 ub24 CRON[1490]: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
